Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly2,MaskTomer,1,"Learning Rate: 0.012909976864893346
Activation:  relu
Optimizer: adam",0.5357142857142857,0.5307539682539683,0.15227130325814536,0.5267857142857143,0.82171817191789,0.6458277321822223,3.848747730255127,0.0415036678314209
butterfly2,MaskTomer,2,"Learning Rate: 0.01102213504479061
Activation:  relu
Optimizer: adam",0.5714285714285714,0.5965277777777778,0.14561836904514247,0.5833333333333333,0.8564207218061624,0.7100020088257935,3.6668057441711426,0.03358793258666992
butterfly2,MaskTomer,3,"Learning Rate: 0.002309321009852703
Activation:  elu
Optimizer: RMSprop",0.7142857142857143,0.7777777777777777,0.08557692307692308,0.7532467532467533,0.946199533288349,0.7586356496512746,4.0310142040252686,0.032135963439941406
butterfly2,MaskTomer,4,"Learning Rate: 0.002433103663141835
Activation:  elu
Optimizer: adam",0.6428571428571429,0.621031746031746,0.12494303941672362,0.6845238095238095,0.8719363343423493,0.7461863287917894,3.2850472927093506,0.03305459022521973
butterfly2,MaskTomer,5,"Learning Rate: 0.002603071224199663
Activation:  elu
Optimizer: adam",0.7857142857142857,0.7848214285714286,0.07054865424430642,0.7782738095238095,0.9209594979296065,0.7560073376785077,3.196680784225464,0.03338885307312012
butterfly2,MaskTomer,6,"Learning Rate: 0.004154145832106351
Activation:  elu
Optimizer: adam",0.75,0.5955988455988456,0.08209658132258751,0.6076388888888888,0.8118076576723193,0.6065468862608772,4.112001180648804,0.034010887145996094
butterfly2,MaskTomer,7,"Learning Rate: 0.016091665184752624
Activation:  elu
Optimizer: adam",0.7142857142857143,0.7142857142857143,0.09529220779220779,0.7319444444444445,0.9296507807668521,0.8229177087501667,3.7534220218658447,0.033158063888549805
butterfly2,MaskTomer,8,"Learning Rate: 0.020041650152473448
Activation:  elu
Optimizer: adam",0.5,0.4833333333333334,0.1691919191919192,0.4136363636363636,0.752020202020202,0.4654930083998389,3.4951071739196777,0.0338129997253418
butterfly2,MaskTomer,9,"Learning Rate: 0.0012852743129811632
Activation:  elu
Optimizer: RMSprop",0.6785714285714286,0.6458333333333334,0.10795454545454544,0.5255681818181819,0.8336174242424242,0.6926800805876893,3.9075498580932617,0.03982877731323242
butterfly2,MaskTomer,10,"Learning Rate: 0.003559606140673516
Activation:  relu
Optimizer: adam",0.5,0.46964285714285714,0.16550207039337472,0.5395833333333333,0.9049153356994972,0.6834779233663162,1.6370890140533447,0.034836769104003906
