Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_5,Mask,1,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.6875,0.715064935,0.075216103,0.676556777,0.836540075,0.652710312,6.684854507,0.05576849
cifar_5,Mask,2,"Learning Rate: 0.011790377646103615
Activation:  elu
Optimizer: adam",0.604166667,0.630586081,0.098493404,0.606349206,0.868511123,0.684550688,6.697797298,0.105401039
cifar_5,Mask,3,"Learning Rate: 0.002632196394455782
Activation:  elu
Optimizer: RMSprop",0.583333333,0.664256854,0.100799059,0.601616162,0.869783657,0.741001695,6.856039762,0.044021606
cifar_5,Mask,4,"Learning Rate: 0.008030357216781992
Activation:  elu
Optimizer: adam",0.541666667,0.581060606,0.112261673,0.554120879,0.865533884,0.618343723,6.599668264,0.051404238
cifar_5,Mask,5,"Learning Rate: 0.0815509990220831
Activation:  relu
Optimizer: sgd",0.4375,0.446324786,0.138624767,0.389230769,0.801035495,0.503806451,4.31882143,0.041208506
cifar_5,Mask,6,"Learning Rate: 0.012580551090514409
Activation:  elu
Optimizer: sgd",0.625,0.690559441,0.091430064,0.647763348,0.905103999,0.68869474,4.147508383,0.040286064
cifar_5,Mask,7,"Learning Rate: 0.006363924350166157
Activation:  relu
Optimizer: adam",0.541666667,0.51950272,0.114222354,0.512893773,0.785674746,0.56811521,4.231069565,0.039210081
cifar_5,Mask,8,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.270833333,0.304242424,0.17828906,0.35372549,0.751854778,0.459478666,1.609879494,0.039853334
cifar_5,Mask,9,"Learning Rate: 0.004572015847858553
Activation:  relu
Optimizer: adam",0.708333333,0.718888889,0.07109657,0.70031746,0.924974779,0.751966399,5.044971466,0.041636467
cifar_5,Mask,10,"Learning Rate: 0.06266282011626284
Activation:  relu
Optimizer: sgd",0.666666667,0.678247863,0.082142857,0.715,0.894291511,0.75454602,4.885764122,0.040228367
