Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_6,Mask_VGG_Improved_Tomer,1,"Learning Rate: 0.09379992534207028
Activation:  relu
Optimizer: RMSprop",0.0625,0.2,0.2,0,0.536665858,0.457886003,31.46848869,0.205397606
cifar_6,Mask_VGG_Improved_Tomer,2,"Learning Rate: 0.03170014542826193
Activation:  elu
Optimizer: adam",0.0625,0.085714286,0.229547038,0,0.473342565,0.251609347,48.75534749,0.305949926
cifar_6,Mask_VGG_Improved_Tomer,3,"Learning Rate: 0.0012466748931657117
Activation:  relu
Optimizer: adam",0.645833333,0.661226551,0.087009507,0.642251082,0.894563762,0.737679618,60.38704443,0.393946171
cifar_6,Mask_VGG_Improved_Tomer,4,"Learning Rate: 0.0022591630600660413
Activation:  elu
Optimizer: adam",0.645833333,0.636868687,0.086322657,0.623333333,0.879633434,0.699708544,40.82969999,0.370110989
cifar_6,Mask_VGG_Improved_Tomer,5,"Learning Rate: 0.0033486225412324186
Activation:  elu
Optimizer: adam",0.75,0.748034188,0.065054945,0.813586414,0.937572564,0.839880394,33.89274549,0.210619926
cifar_6,Mask_VGG_Improved_Tomer,6,"Learning Rate: 0.008591380314042276
Activation:  elu
Optimizer: RMSprop",0.395833333,0.314848485,0.163283434,0.340952381,0.716665108,0.403200609,27.96201086,0.263430357
cifar_6,Mask_VGG_Improved_Tomer,7,"Learning Rate: 0.013587930533524901
Activation:  elu
Optimizer: adam",0.208333333,0.160683761,0.196210276,0.32,0.456691787,0.283387369,22.43477273,0.206014633
cifar_6,Mask_VGG_Improved_Tomer,8,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.666666667,0.658614719,0.084336999,0.685281385,0.905164056,0.734389279,64.0965395,0.400356293
cifar_6,Mask_VGG_Improved_Tomer,9,"Learning Rate: 0.05743628990444726
Activation:  elu
Optimizer: RMSprop",0.25,0.316666667,0.189868081,0,0.486130953,0.285681398,37.67344785,0.267452002
cifar_6,Mask_VGG_Improved_Tomer,10,"Learning Rate: 0.002634585109829063
Activation:  relu
Optimizer: adam",0.895833333,0.906623932,0.026105649,0.894191919,0.979776391,0.945208984,47.46601033,0.240962982
