Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fruits2,Mask_VGG_Ido,1,"Learning Rate: 0.004905759549896067
Activation:  relu
Optimizer: sgd",0.346153846,0.359659091,0.209707594,0.27900641,0.607910911,0.368757314,6.533159971,0.212965488
fruits2,Mask_VGG_Ido,2,"Learning Rate: 0.0035860957963314097
Activation:  relu
Optimizer: adam",0.25,0.265151515,0.259246088,0.3125,0.53146035,0.379148114,6.559812307,0.255331993
fruits2,Mask_VGG_Ido,3,"Learning Rate: 0.005032611568224077
Activation:  elu
Optimizer: RMSprop",0.173076923,0.162990196,0.288392857,0.086538462,0.369015167,0.257363151,6.860823631,0.235300779
fruits2,Mask_VGG_Ido,4,"Learning Rate: 0.0015791204617809486
Activation:  elu
Optimizer: RMSprop",0.307692308,0.33125,0.221851966,0.259615385,0.470963883,0.36122635,7.728555679,0.23508811
fruits2,Mask_VGG_Ido,5,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.403846154,0.401190476,0.194078947,0.446428571,0.798372341,0.525224693,7.383943796,0.243212461
fruits2,Mask_VGG_Ido,6,"Learning Rate: 0.013165188865037519
Activation:  relu
Optimizer: RMSprop",0.153846154,0.25,0.25,0,0.55597405,0.342989809,7.451135874,0.244765043
fruits2,Mask_VGG_Ido,7,"Learning Rate: 0.0016601812040517242
Activation:  elu
Optimizer: adam",0.519230769,0.459401709,0.16652611,0.394642857,0.773282777,0.543943422,7.725972891,0.238926888
fruits2,Mask_VGG_Ido,8,"Learning Rate: 0.007587258723865492
Activation:  elu
Optimizer: RMSprop",0.442307692,0.44253663,0.184024966,0,0.679215629,0.430665206,7.601847887,0.28240943
fruits2,Mask_VGG_Ido,9,"Learning Rate: 0.040262251574794385
Activation:  elu
Optimizer: adam",0.307692308,0.332859848,0.240210027,0.278846154,0.602926067,0.388217173,7.347298384,0.283562422
fruits2,Mask_VGG_Ido,10,"Learning Rate: 0.030921961739762506
Activation:  relu
Optimizer: RMSprop",0.230769231,0.214285714,0.262820513,0.06,0.393956994,0.300439085,7.876705885,0.244563818
