Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_10,Mask_VGG_Improved_Tomer,1,"Learning Rate: 0.048751010636060736
Activation:  elu
Optimizer: RMSprop",0.145833333,0.171212121,0.218031202,0.168245614,0.403680197,0.23057464,43.41070366,0.311588526
cifar_10,Mask_VGG_Improved_Tomer,2,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.729166667,0.744688645,0.06526996,0.741414141,0.91483849,0.780709922,66.54793549,0.199801207
cifar_10,Mask_VGG_Improved_Tomer,3,"Learning Rate: 0.004201988283288192
Activation:  relu
Optimizer: adam",0.6875,0.701630592,0.076362274,0.702741703,0.832178395,0.641160733,36.53120303,0.417742968
cifar_10,Mask_VGG_Improved_Tomer,4,"Learning Rate: 0.0731515434250959
Activation:  elu
Optimizer: RMSprop",0.1875,0.288888889,0.202125007,0.108333333,0.508185962,0.323093785,27.4960413,0.2167027
cifar_10,Mask_VGG_Improved_Tomer,5,"Learning Rate: 0.04709133478156092
Activation:  relu
Optimizer: adam",0.208333333,0.2,0.2,0,0.620987083,0.373482906,17.09352088,0.328672886
cifar_10,Mask_VGG_Improved_Tomer,6,"Learning Rate: 0.08813661178577321
Activation:  elu
Optimizer: adam",0.229166667,0.206153846,0.204210526,0.091666667,0.541063026,0.334133644,54.01319122,0.247661829
cifar_10,Mask_VGG_Improved_Tomer,7,"Learning Rate: 0.0015687938939761574
Activation:  relu
Optimizer: adam",0.708333333,0.713209013,0.073741214,0.723160173,0.924874355,0.799072503,47.04671478,0.369905472
cifar_10,Mask_VGG_Improved_Tomer,8,"Learning Rate: 0.002116309081726225
Activation:  relu
Optimizer: adam",0.770833333,0.721558442,0.058591771,0.750915033,0.942334707,0.824148037,40.23076916,0.305521965
cifar_10,Mask_VGG_Improved_Tomer,9,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.895833333,0.89,0.026900585,0.914615385,0.945701528,0.911574112,57.51171875,0.248461962
cifar_10,Mask_VGG_Improved_Tomer,10,"Learning Rate: 0.050972198266965404
Activation:  relu
Optimizer: adam",0.125,0.14,0.212631579,0.055555556,0.294468382,0.179444444,40.91883755,0.257759571
